nis,nama,kelas,nilai_matematika,nilai_ipa,nilai_ips,kehadiran_persen
S-0269,Oscar Siregar,8B,86,99,84,90
S-0270,Budi Purnama,8C,70,63,75,71
S-0271,Umi Pratama,9B,62,63,71,80
S-0272,Eko Nugroho,9B,70,64,72,81
S-0273,Oscar Utami,7C,62,70,55,97
S-0274,Budi Siregar,9A,77,79,66,97
S-0275,Lukman Zulaikha,9B,88,84,81,70
S-0276,Andi Safitri,9C,60,65,67,89
S-0277,Rangga Siregar,8C,76,83,88,81
S-0278,Andi Wibowo,9A,56,69,67,83
S-0279,Hadi Kusuma,8C,67,64,56,80
S-0280,Gita Nugroho,9C,73,55,69,73
S-0281,Dewi Wibowo,9C,80,78,69,85
S-0282,Maya Utami,7A,95,92,96,70
S-0283,Rangga Utami,9B,60,61,64,92
S-0284,Umi Safitri,9A,57,57,68,81
S-0285,Lukman Nugroho,7B,63,55,46,81
S-0286,Umi Hidayat,7B,84,66,76,91
S-0287,Gita Hidayat,8B,94,91,95,71
S-0288,Nanda Zulaikha,8A,72,75,62,81
S-0289,Umi Siregar,9C,84,95,83,94
S-0290,Sari Safitri,7B,67,65,76,91
S-0291,Eko Purnama,8B,100,89,100,73
S-0292,Putri Utami,7B,80,67,77,80
S-0293,Taufik Maulana,9B,82,71,87,84
S-0294,Joko Yuliana,7B,79,80,76,92
S-0295,Citra Zulaikha,7A,81,69,77,99
S-0296,Rangga Ramadhan,9A,86,94,100,96
S-0297,Lukman Yuliana,9C,71,59,75,75
S-0298,Gita Firmansyah,8C,62,72,64,72
S-0299,Budi Nugroho,8A,83,74,71,98
S-0300,Gita Pratama,8C,70,55,68,95
S-0301,Umi Hidayat,9B,63,68,70,76
S-0302,Rangga Halim,8A,71,81,67,70
S-0303,Gita Tambunan,7A,84,85,82,95
S-0304,Hadi Firmansyah,8A,77,69,80,95
S-0305,Kartika Maulana,8A,70,58,68,75
S-0306,Oscar Tambunan,7C,83,84,77,81
S-0307,Maya Anggraini,7A,96,92,83,84
S-0308,Kartika Purnama,9B,62,64,61,74
S-0309,Lukman Hidayat,7B,73,80,80,87
S-0310,Taufik Siregar,9A,61,75,64,70
S-0311,Dewi Hidayat,9B,80,76,89,77
S-0312,Lukman Siregar,9B,69,62,68,92
S-0313,Fajar Safitri,7B,71,66,74,86
S-0314,Hadi Ramadhan,7C,74,73,65,100
S-0315,Putri Firmansyah,8A,89,88,97,92
S-0316,Lukman Tambunan,7C,97,100,92,100
S-0317,Budi Wibowo,8A,76,70,71,95
S-0318,Maya Purnama,7C,56,66,68,92
S-0319,Umi Tambunan,7B,82,66,82,89
S-0320,Putri Wibowo,7A,70,73,74,70
S-0321,Sari Utami,9A,75,70,73,95
S-0322,Citra Halim,8B,91,94,89,96
S-0323,Joko Yuliana,9B,98,100,97,98
S-0324,Rangga Wibowo,7C,61,54,61,100
S-0325,Kartika Siregar,9B,68,63,80,80
S-0326,Hadi Lestari,8C,72,66,75,90
S-0327,Maya Saputra,9B,65,74,59,71
S-0328,Taufik Anggraini,8A,57,63,51,88
S-0329,Budi Hidayat,7A,84,76,72,71
S-0330,Kartika Purnama,9B,62,71,61,79
S-0331,Kartika Safitri,9A,82,80,77,77
S-0332,Gita Utami,8B,77,77,90,75
S-0333,Joko Pratama,7C,70,61,65,82
S-0334,Hadi Purnama,8A,51,56,52,73
S-0335,Hadi Anggraini,8C,83,75,79,96
S-0336,Kartika Wibowo,8C,88,79,91,89
S-0337,Taufik Tambunan,9C,75,74,79,93
S-0338,Gita Firmansyah,7A,82,81,98,77
S-0339,Putri Halim,8B,80,67,79,98
S-0340,Umi Zulaikha,9A,67,64,59,75
S-0341,Nanda Safitri,7B,66,59,66,86
S-0342,Dewi Anggraini,7A,79,72,79,99
S-0343,Joko Halim,9C,87,86,92,85
S-0344,Taufik Pratama,7C,75,68,65,74
S-0345,Rangga Safitri,9A,73,67,75,80
S-0346,Kartika Purnama,7B,85,97,88,81
S-0347,Oscar Lestari,8B,90,90,93,77
S-0348,Hadi Ramadhan,8C,73,79,75,77
S-0349,Hadi Saputra,8B,78,91,84,76
S-0350,Sari Lestari,8B,83,68,80,75
S-0351,Eko Tambunan,7B,97,89,89,91
S-0352,Nanda Zulaikha,8B,60,51,56,96
S-0353,Maya Pratama,8B,100,88,100,98
S-0354,Eko Safitri,9C,82,73,79,97
S-0355,Gita Anggraini,7B,69,69,83,90
S-0356,Hadi Wibowo,8A,85,81,73,76
S-0357,Rangga Utami,8B,82,82,63,84
S-0358,Hadi Wijaya,9B,100,96,93,76
S-0359,Indah Siregar,7B,60,51,64,82
S-0360,Umi Nugroho,7C,54,56,64,76
S-0361,Rangga Nugroho,7C,89,73,73,74
S-0362,Dewi Safitri,9A,46,61,63,75
S-0363,Taufik Purnama,7C,92,88,81,90
S-0364,Umi Nugroho,7A,86,86,86,70
S-0365,Andi Firmansyah,9B,71,66,71,98
S-0366,Taufik Wibowo,8C,82,81,70,75
S-0367,Nanda Anggraini,9C,71,87,84,73
S-0368,Rangga Siregar,7B,70,78,74,92
S-0369,Andi Tambunan,7C,71,73,73,93
S-0370,Hadi Kusuma,7A,63,65,70,98
S-0371,Taufik Anggraini,8B,55,60,56,98
S-0372,Rangga Kusuma,8C,52,50,50,84
S-0373,Putri Maulana,9A,65,76,85,92
S-0374,Taufik Safitri,9B,91,94,96,85
S-0375,Oscar Zulaikha,7C,48,66,50,93
S-0376,Citra Purnama,8B,97,98,96,87
S-0377,Hadi Utami,9B,66,67,57,76
S-0378,Dewi Wibowo,8B,65,83,66,91
S-0379,Oscar Hidayat,9C,67,54,51,84
S-0380,Eko Nugroho,8C,57,63,70,79
S-0381,Eko Lestari,8B,88,78,83,74
S-0382,Maya Maulana,8C,75,82,83,80
S-0383,Dewi Utami,9C,72,72,88,77
S-0384,Eko Nugroho,8B,79,82,72,76
S-0385,Citra Siregar,9B,95,84,81,78
S-0386,Andi Lestari,9B,66,73,63,89
S-0387,Taufik Halim,8C,99,94,100,84
S-0388,Fajar Hidayat,9C,68,54,55,91
S-0389,Gita Ramadhan,9B,69,72,77,100
S-0390,Sari Kusuma,9B,83,70,68,99
S-0391,Kartika Halim,7A,65,71,70,94
S-0392,Budi Wibowo,7B,83,72,89,77
S-0393,Joko Ramadhan,9C,64,53,54,80
S-0394,Joko Hidayat,9C,90,77,95,93
S-0395,Maya Ramadhan,8C,92,93,100,84
S-0396,Lukman Purnama,7A,67,61,62,99
S-0397,Citra Anggraini,8A,75,92,87,70
S-0398,Hadi Anggraini,8B,90,84,86,76
S-0399,Maya Yuliana,9B,56,66,68,79
S-0400,Fajar Wibowo,9A,84,91,78,72
